gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1291111128		application/octet-stream	https://static.inaturalist.org/photos/4201281/original.jpeg?1467851561	http://www.inaturalist.org/photos/4201281			2016-07-06T16:40Z	Christine Hass		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Christine Hass
1291111128		application/octet-stream	https://static.inaturalist.org/photos/4201339/original.jpeg?1467851793	http://www.inaturalist.org/photos/4201339			2016-07-06T16:40Z	Christine Hass		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Christine Hass
1291091841	StillImage	image/jpeg	https://static.inaturalist.org/photos/4119056/original.jpg?1467059988	http://conabio.inaturalist.org/photos/4119056			2015-09-14T02:00Z	Eliana Maria Suarez Castrillon		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Eliana Maria Suarez Castrillon
1273855053		application/octet-stream	https://static.inaturalist.org/photos/4070616/original.png?1466548366	http://www.inaturalist.org/photos/4070616			2016-04-21T02:00Z	NHM Citizen Science Program		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	NHM Citizen Science Program
1273853713	StillImage	image/jpeg	https://static.inaturalist.org/photos/4063695/original.jpg?1466473746	http://inaturalist.ca/photos/4063695			2014-10-08T02:00Z	Joanne Siderius		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Joanne Siderius
1273853713	StillImage	image/jpeg	https://static.inaturalist.org/photos/4063717/original.jpg?1466473844	http://inaturalist.ca/photos/4063717			2014-10-08T02:00Z	Joanne Siderius		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Joanne Siderius
1273853685	StillImage	image/jpeg	https://static.inaturalist.org/photos/4063764/original.jpg?1466474117	http://inaturalist.ca/photos/4063764			2014-03-17T01:00Z	Joanne Siderius		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Joanne Siderius
1272105036	StillImage	image/jpeg	https://static.inaturalist.org/photos/3979670/original.jpg?1465661446	http://www.inaturalist.org/photos/3979670			2016-06-10T13:18Z	George Chrisman		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	George Chrisman
1272105036	StillImage	image/jpeg	https://static.inaturalist.org/photos/3979671/original.jpg?1465661463	http://www.inaturalist.org/photos/3979671			2016-06-10T13:18Z	George Chrisman		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	George Chrisman
1272105036	StillImage	image/jpeg	https://static.inaturalist.org/photos/3979672/original.jpg?1465661474	http://www.inaturalist.org/photos/3979672			2016-06-10T13:18Z	George Chrisman		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	George Chrisman
1272098246	StillImage	image/jpeg	https://static.inaturalist.org/photos/3947794/original.jpg?1465405536	http://conabio.inaturalist.org/photos/3947794			2016-05-28T02:00Z	Zona Sujeta a Conservación Ecológica Sierra de Zapalinamé		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Zona Sujeta a Conservación Ecológica Sierra de Zapalinamé
