gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1500312489	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5949176	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.194679	-116.859049	28998.0						2017-04-23T23:45Z	23	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5949176			CC_BY_NC_4_0	Bob Williams	Bob Williams			2017-05-06T13:17Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1500310174	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://conabio.inaturalist.org/observations/5945823	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	MX		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.535962	-100.099657	30367.0						2015-12-23T00:50Z	22	12	2015	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5945823			CC_BY_NC_4_0	RBSGG-CONANP	RBSGG-CONANP			2017-05-06T13:17Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1500308695	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5940921	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	MX		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.32229	-110.359155	10.0						2017-04-22T12:19Z	22	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5940921			CC_BY_NC_4_0	dayhana	dayhana			2017-05-06T13:17Z		GEODETIC_DATUM_ASSUMED_WGS84
1500285550	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5871195	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.228	-117.6703	198.0						2017-04-17T09:52Z	17	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5871195			CC_BY_NC_4_0	NHMLA Citizen Science Program	NHMLA Citizen Science Program			2017-05-06T13:16Z		GEODETIC_DATUM_ASSUMED_WGS84
1500271829	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5834974	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.01254	-118.349218	28860.0						2017-04-18T07:11Z	18	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5834974			CC_BY_NC_4_0	Miguel Ordeñana	Miguel Ordeñana			2017-05-06T13:15Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1500258244	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5789717	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d									2017-04-16T04:07Z	16	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5789717			CC_BY_NC_4_0	dlbowls	dlbowls			2017-05-06T13:15Z		
1500256824	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5784181	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.135065	-121.477473	11881.0						2017-04-14T18:29Z	14	4	2017	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5784181			CC_BY_NC_4_0	Trent Pearce	Trent Pearce			2017-05-06T13:15Z		GEODETIC_DATUM_ASSUMED_WGS84
1500229020	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5691970	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.378003	-122.491388							2016-03-29T02:00Z	29	3	2016	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5691970			CC_BY_NC_4_0	Jeanne Wirka	Jeanne Wirka			2017-05-06T13:14Z		GEODETIC_DATUM_ASSUMED_WGS84
1500228996	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5692001	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.378003	-122.491388							2016-03-29T02:00Z	29	3	2016	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	5692001			CC_BY_NC_4_0	Jeanne Wirka	Jeanne Wirka			2017-05-06T13:14Z		GEODETIC_DATUM_ASSUMED_WGS84
1500196441	88d8974c-f762-11e1-a439-00145eb45e9a	urn:occurrence:Arctos:UCM:Mamm:3424:3552870	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	US	Near Atchee	4cadac10-3e7b-11d9-8439-b8a03c50a862													2435099	2435099	PRESERVED_SPECIMEN	UCM	Mammal specimens	3424		unknown	CC0_1_0		Collector(s): Dr. N. F. Nedderman			2017-05-06T04:40Z		RECORDED_DATE_INVALID
